Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
ZEIT ONLINE,zeitonline,37816894428,NEWS_SITE,DE,"ZEIT ONLINE auf
- Twitter: twitter.com/zeitonline 
- Instagram: www.instagram.com/zeit/

Netiquette: http://zeit.to/zon-netiquette",2014-09-30 23:06:44 CEST,846691,886153,2021-05-06 13:12:12 CEST,2021-05-06,13:12:12,Link,767,418,225,16,22,2,10,3,71,0,,-,0,0,0,N/A,https://www.facebook.com/37816894428/posts/10159400646299429,Bundestag beschließt Lockerungen für Geimpfte,https://www.zeit.de/politik/deutschland/2021-05/bundestag-beschliesst-lockerungen-fuer-geimpfte?wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost.link.x&utm_medium=sm&utm_source=facebook_zonaudev_int&utm_campaign=ref&utm_content=zeitde_redpost_link_x,,,Bundestag beschließt Lockerungen für Geimpfte,Lesen Sie jetzt „Bundestag beschließt Lockerungen für Geimpfte“.,,,,23.97
WELT Nachrichtensender,weltnachrichtensender,95242447553,BROADCASTING_MEDIA_PRODUCTION,DE,"WELT – Deutschlands führender Informationssender
Netiquette: http://to.welt.de/6u1DBfN",2014-09-30 23:17:23 CEST,1020841,1014010,2021-05-06 13:21:18 CEST,2021-05-06,13:21:18,Link,"1,468",328,513,109,5,3,73,6,431,0,,-,0,0,0,N/A,https://www.facebook.com/95242447553/posts/10157885151252554,Das sieht die neue Regelung jetzt vor.,https://trib.al/4OGR02c,https://www.welt.de/politik/deutschland/article230917059/Corona-Massnahmen-Bundestag-stimmt-fuer-Erleichterungen-fuer-Geimpfte-und-Genesene.html?wtrid=socialmedia.socialflow.facebook.weltvideotv..socialflow_facebook,,Corona: Bundestag beschließt Lockerungen für Geimpfte und Genesene,,,,,22.24
ZEIT ONLINE,zeitonline,37816894428,NEWS_SITE,DE,"ZEIT ONLINE auf
- Twitter: twitter.com/zeitonline 
- Instagram: www.instagram.com/zeit/

Netiquette: http://zeit.to/zon-netiquette",2014-09-30 23:06:44 CEST,846810,886138,2021-05-05 19:59:58 CEST,2021-05-05,19:59:58,Link,"1,902",973,504,57,39,11,15,36,265,2,,-,0,0,0,N/A,https://www.facebook.com/37816894428/posts/10159399049934429,Bundesverfassungsgericht lehnt Eilanträge gegen Ausgangssperre ab,https://www.zeit.de/politik/deutschland/2021-05/bundesverfassungsgericht-lehnt-eilantraege-gegen-ausgangssperre-ab?wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost.link.x&utm_medium=sm&utm_source=facebook_zonaudev_int&utm_campaign=ref&utm_content=zeitde_redpost_link_x,,,Bundesverfassungsgericht lehnt Eilanträge gegen Ausgangssperre ab,Lesen Sie jetzt „Bundesverfassungsgericht lehnt Eilanträge gegen Ausgangssperre ab“.,,,,21.37
t-online,tonline,24897707939,MEDIA_NEWS_COMPANY,DE,"t-online, Deutschlands größtes Nachrichtenportal. Jetzt Fan werden!",2015-04-20 14:42:53 CEST,376369,393407,2021-05-05 16:40:07 CEST,2021-05-05,16:40:07,Link,"2,788",191,1372,56,11,17,327,65,747,2,,-,0,0,0,N/A,https://www.facebook.com/24897707939/posts/10159511478997940,,https://www.t-online.de/nachrichten/deutschland/innenpolitik/id_89976814/bundestagswahl-gruene-holen-doppelt-so-viele-stimmen-wie-spd-umfrage.html?utm_source=dlvr.it&utm_medium=facebook,,,Umfrage: Grüne stehen an der Spitze,"Die Grünen stehen bei Umfragen zur Bundestagswahl derzeit an der Spitze, die SPD liegt auf dem dritten Platz. Die beiden Parteien trennen inzwischen 14 Prozentpunkte.",,,,19.5
ZEIT ONLINE,zeitonline,37816894428,NEWS_SITE,DE,"ZEIT ONLINE auf
- Twitter: twitter.com/zeitonline 
- Instagram: www.instagram.com/zeit/

Netiquette: http://zeit.to/zon-netiquette",2014-09-30 23:06:44 CEST,846691,886153,2021-05-06 08:57:07 CEST,2021-05-06,08:57:07,Link,"1,092",837,142,31,37,3,30,1,8,3,,-,0,0,0,N/A,https://www.facebook.com/37816894428/posts/10159400341554429,Gute Nachrichten von Moderna,https://trib.al/L1rW4jZ,https://www.zeit.de/politik/ausland/2021-03/coronavirus-weltweit-entwicklung-pandemie-covid-19-live?utm_content=zeitde_redpost_zon_link_sf&utm_medium=sm&utm_term=facebook_zonaudev_int&utm_referrer=facebook&wt_zmc=sm.int.zonaudev.facebook.ref.zeitde.redpost_zon.link.sf&utm_source=facebook_zonaudev_int&utm_campaign=ref,,Coronavirus weltweit: Impfauffrischung mit Moderna wirkt offenbar gegen Virusvarianten,Studienteilnehmer hätten Antikörper gegen Mutationen aus Südafrika und Brasilien entwickelt. Die indische Variante wurde in Spanien entdeckt. Corona-News aus aller Welt,,,,17.33
WELT,welt,97515118114,NEWS_SITE,DE,"Wir informieren euch rund um die Uhr über das Weltgeschehen.

Netiquette: http://to.welt.de/6u1DBfN",2014-09-30 23:07:59 CEST,1065700,1100358,2021-05-06 08:15:06 CEST,2021-05-06,08:15:06,Link,"5,843",893,2137,331,8,42,1721,17,693,1,,-,0,0,0,N/A,https://www.facebook.com/97515118114/posts/10160043273078115,Hier gibt eine Expertin Tipps zum Umgang mit Verschwörungsideologen.,https://trib.al/7LPfOC9,https://www.welt.de/politik/deutschland/article230889185/Wir-raten-Angehoerigen-mit-Querdenkern-nicht-zu-diskutieren.html?wtrid=socialmedia.socialflow....socialflow_facebook,,"""Wir raten Angehörigen, mit 'Querdenkern' nicht zu diskutieren""",,,,,16.74
ntv Nachrichten,ntvNachrichten,126049165307,TV_CHANNEL,DE,"Breaking News, aktuelle Videos und Artikel von http://www.n-tv.de | Zum Impressum",2014-10-06 20:31:53 CEST,1067406,1143728,2021-05-05 22:48:10 CEST,2021-05-05,22:48:10,Link,"2,886",438,1119,45,11,15,1027,8,218,5,,-,0,0,0,N/A,https://www.facebook.com/126049165307/posts/10158279373410308,Eine Umfrage zum Nationalstolz überrascht.,https://www.n-tv.de/politik/Mehrheit-sieht-Einwanderung-entspannt-article22535915.html?utm_medium=Social&utm_source=Facebook#Echobox=1620239895,,,Mehrheit sieht Einwanderung entspannt,"Das Meinungsforschungsinstitut Pew befragt regelmäßig Deutsche, Franzosen, Engländer und US-Amerikaner zu ihren Ansichten über Migration und Integration. Die Ergebniss...",,,,16.21
DER SPIEGEL,derspiegel,38246844868,NEWS_SITE,DE,"DER SPIEGEL steht für unabhängigen investigativen Journalismus. Er ermöglicht seinen Leserinnen und Lesern den Blick hinter die Fassade der vordergründigen Nachrichtenwelt, liefert Hintergründe und ordnet ein. DER SPIEGEL sagt, was ist.",2014-08-27 23:54:12 CEST,1924511,2110658,2021-05-05 20:00:02 CEST,2021-05-05,20:00:02,Photo,"11,619",7686,1558,2069,51,19,69,117,38,12,,-,0,0,0,N/A,https://www.facebook.com/38246844868/posts/10159924091034869,"»Kein Impfstoff für Kinder, keine Luftfilter für Schulen: Corona hat mit pandemischer Gnadenlosigkeit offengelegt, wie wenig junge Menschen in Deutschland zählen. Das äußert sich auch abseits der Politik«, schreibt Sascha Lobo in seiner Kolumne.",https://www.facebook.com/derspiegel/photos/a.420707594868/10159924089809869/?type=3,,"Jugend und Corona S >>In Sachen Corona haben sich Scharen junger Menschen in den Zwangsdeal gefügt, über ein Jahr ihres Lebens zu opfern, vorrangig, um Ältere zu schützen. Im Gegenzug bekamen sie wenig, ergänzt um schlechten Empfang und herablassende Boomer- Erzählungen davon, wie gut ihnen bekommen würde, auch mal zu verzichten.« Eine Kolumne von Sascha Lobo Autor",,,,,,13.54
FOCUS Online,focus.de,37124189409,NEWS_SITE,DE,"Aktuelle Nachrichten und Hintergründe von FOCUS und FOCUS Online. ""Gefällt mir"" klicken und mitdiskutieren.",2014-09-30 23:07:01 CEST,894660,901536,2021-05-05 18:30:04 CEST,2021-05-05,18:30:04,Link,"2,495",249,1220,68,6,19,806,27,92,8,,-,0,0,0,N/A,https://www.facebook.com/37124189409/posts/10159868224174410,"Schon jetzt wird die 40-Jährige massiv angefeindet, Beleidigungen und Falschmeldungen im Netz haben rapide zugenommen ...",https://www.focus.de/politik/deutschland/fake-news-und-falsche-nacktbilder-hass-beschleuniger-k-kroenung-jung-weiblich-liberal-baerbock-ist-das-perfekte-feindbild_id_13263434.html?utm_source=facebook&utm_medium=social&utm_campaign=facebook-focus-online-panorama&fbc=facebook-focus-online-panorama&ts=202105051720&cid=05052021,,,Die Hass- und Lügenkampagne gegen Baerbock: „Sie ist ein perfektes Feindbild“,"Annalena Baerbock geht bei der diesjährigen Bundestagswahl als grüne Kanzlerkandidatin ins Rennen. Schon jetzt wird die 40-Jährige massiv angefeindet, Beleidigungen und Falschmeldungen im Netz haben rapide zugenommen. Experten vermuten eine gezielte Schmutzkampagne.",,,,13.34
Bild,bild,25604775729,NEWS_SITE,DE,"Offizielle Seite von BILD. Diskutiere über die Themen des Tages. Einfach ""Gefällt mir"" klicken und mitreden! http://www.BILD.de",2014-02-06 01:43:47 CET,2546152,2527790,2021-05-06 06:33:00 CEST,2021-05-06,06:33:00,Link,"4,079",126,1581,341,4,15,175,14,1821,2,,-,0,0,0,N/A,https://www.facebook.com/25604775729/posts/10160631984540730,Ein entsprechendes Gesetz soll schon nächste Woche verabschiedet werden.,https://www.bild.de/politik/inland/politik-inland/regierung-verschaerft-klimaschutz-benzinpreis-bald-bei-zwei-euro-76298846.bild.html,,,Regierung verschärft Klimaschutz: Benzinpreis bald bei zwei Euro?,,,,,13.24
